"s0","n0","nparts","nunique","max_draws","log_nparts","log_nunique"
245,404,"97662728555",10000,10000,25.30478583452,9.21034037197618
2,666,"333",333,10000,5.80814248998044,5.80814248998044
3,666,"36963",8743,10000,10.5176726912928,9.07600865918089
5,666,"69340404",10000,10000,18.054538324567,9.21034037197618
8,666,"317202410064",10000,10000,26.4828059246101,9.21034037197618
13,666,"4480895795755228",10000,10000,36.038599375759,9.21034037197618
21,666,"30750153337654075203",10000,10000,44.8724266547233,9.21034037197618
34,666,"16960533556000831078905",10000,10000,51.1851760424137,9.21034037197618
55,666,"224667994315288971716046",10000,10000,53.7689106845169,9.21034037197618
91,666,"111745788850746178493046",10000,10000,53.0705135019964,9.21034037197618
149,666,"5838828710429811709611",10000,10000,50.118817166317,9.21034037197618
245,666,"24167048176397232630",10000,10000,44.6315217335703,9.21034037197618
404,666,"576672674947168",10000,10000,33.9882959336815,9.21034037197618
2,1097,"548",548,10000,6.30627528694802,6.30627528694802
3,1097,"100284",9492,10000,11.5157614397894,9.15820461755565
5,1097,"507432854",10000,10000,20.0448749527377,9.21034037197618
8,1097,"10022031335772",10000,10000,29.9358069191597,9.21034037197618
13,1097,"1440400848181570978",10000,10000,41.8114531155366,9.21034037197618
21,1097,"257825170465935452062058",10000,10000,53.906568674246,9.21034037197618
34,1097,"7236699666360942427462462654",10000,10000,64.1489627661192,9.21034037197618
55,1097,"3246722222029525681182826112810",10000,10000,70.2551987301694,9.21034037197618
91,1097,"15899863866212300281485778446925",10000,10000,71.8438633371375,9.21034037197618
149,1097,"2874744073304952446124757934939",10000,10000,70.1335164421275,9.21034037197618
245,1097,"54836444519972219502670097392",10000,10000,66.174152529733,9.21034037197618
404,1097,"43397921467603356642305679",10000,10000,59.032453779365,9.21034037197618
666,1097,"43955477170518116534",10000,10000,45.2297089130242,9.21034037197618
2,1809,"904",904,10000,6.80682936039218,6.80682936039218
3,1809,"272707",9827,10000,12.5161532377378,9.19288897836243
5,1809,"3739015190",10000,10000,22.0420880955167,9.21034037197618
8,1809,"324213409803627",10000,10000,33.4124230871249,9.21034037197618
13,1809,"509174220457108419202",10000,10000,47.6793219117554,9.21034037197618
21,1809,"3092415422217907885867940750",10000,10000,63.2987499864265,9.21034037197618
34,1809,"9422181479737111999846218342264360",10000,10000,78.2283747101713,9.21034037197618
55,1809,"584311591210759700355976102253678060942",10000,10000,89.2634977349223,9.21034037197618
91,1809,"129375601383759063538906900357019296934693",10000,10000,94.6635384391535,9.21034037197618
149,1809,"158225580319639392153894952514297890988261",10000,10000,94.8648403651086,9.21034037197618
245,1809,"10298863598226186405623986721223267936701",10000,10000,92.1328521856472,9.21034037197618
404,1809,"57983463025235719752977300624770435678",10000,10000,86.953221197423,9.21034037197618
666,1809,"5732504015535964551179003043482710",10000,10000,77.7314605050392,9.21034037197618
2,2981,"1490",1488,10000,7.30653139893951,7.30518821539304
3,2981,"740530",9926,10000,13.5151214250361,9.20291285614739
5,2981,"27511251048",10000,10000,24.0378608869667,9.21034037197618
8,2981,"10537716254525879",10000,10000,36.893737240403,9.21034037197618
13,2981,"187941043080534958038637",10000,10000,53.5904152658865,9.21034037197618
21,2981,"45860409960805718632302037417080",10000,10000,72.9031550066095,9.21034037197618
34,2981,"27171422745226093758665344291116380468561",10000,10000,93.1029844133999,9.21034037197618
55,2981,"935681875360031342593009286274326343915798205179",10000,10000,110.457604726686,9.21034037197618
91,2981,"75285649203643578377571111424104774420038155743700838",10000,10000,121.753129277714,9.21034037197618
149,2981,"2828164621963887864651400379469695077172025321118049124",10000,10000,125.379222979463,9.21034037197618
245,2981,"888560821061072949885591730393134962879488880262573257",10000,10000,124.22144284159,9.21034037197618
404,2981,"19757629066537948537642793794420614670363183265700897",10000,10000,120.415379441306,9.21034037197618
666,2981,"24588355491462891416850875000821626942736974076816",10000,10000,113.72635744058,9.21034037197618
2,4915,"2457",2412,10000,7.80669637252118,7.78821155784708
3,4915,"2013102",9981,10000,14.515187373979,9.20843856468659
5,4915,"203041350255",10000,10000,26.0366754910825,9.21034037197618
8,4915,"345848735290480280",10000,10000,40.3847778931354,9.21034037197618
13,4915,"72099529606296233764435488",10000,10000,59.5400897519422,9.21034037197618
21,4915,"795264655209883111828938806720118346",10000,10000,82.6639830276941,9.21034037197618
34,4915,"141292283414195594344569190834295374875238834687",10000,10000,108.567159861567,9.21034037197618
55,4915,"9262674262626306649058907414943204909038726534981655376173",10000,10000,133.473343104885,9.21034037197618
91,4915,"3086842850788605285980543046336023702763208640853845007616989117082",10000,10000,153.097764975057,9.21034037197618
149,4915,"43712428720929552424400738428276333609657956903974674363123733151801531",10000,10000,162.656003888344,9.21034037197618
2,8104,"4052",3709,10000,8.30696586536857,8.21851757748959
3,8104,"5472901",9996,10000,15.5153193811629,9.20994029195484
5,8104,"1499480694270",10000,10000,28.0361399602743,9.21034037197618
8,8104,"11394403868787491503",10000,10000,43.8796540200651,9.21034037197618
13,8104,"28223100007589937424532896729",10000,10000,65.509938302669,9.21034037197618
21,8104,"15131456880284255011982969449650291766307",10000,10000,92.5175944407641,9.21034037197618
34,8104,"1079125320576503300975324257017315141370720950569324109",10000,10000,124.415745846323,9.21034037197618
55,8104,"352858928787089427431627844382555386400222678817277594125275508457225",10000,10000,157.836684479501,9.21034037197618
91,8104,"5510052498418010467613122556971412040970759206972052765854922461006356984197700137",10000,10000,188.215966683481,9.21034037197618
149,8104,"892025588908664205693955231722974525851890115675932130831689358563203169969077346472927916",10000,10000,207.118397909768,9.21034037197618
2,13360,"6680",5137,10000,8.80687326653069,8.54422453046727
3,13360,"14874133",9998,10000,16.515134221983,9.21014035197352
5,13360,"11070272674310",10000,10000,30.0352844941714,9.21034037197618
8,13360,"375809646482361468434",10000,10000,47.3756144297348,9.21034037197618
13,13360,"11161220111206988689882877294459",10000,10000,71.4899980697598,9.21034037197618
21,13360,"303918374583125303736861252813398920549915027",10000,10000,102.425333066442,9.21034037197618
34,13360,"10501890127421458771880235643734865856327000346717030539469118",10000,10000,140.506660832741,9.21034037197618
