"s0","n0","nparts","nunique","max_draws","log_nparts","log_nunique"
34,3295,"578440451474841639198628543896782527782617",5000,5000,96.1611542320182,8.51719319141624
55,3295,"82575865249158779735822201282621703742970588822538",5000,5000,114.937801913279,8.51719319141624
91,3295,"28859078348259577448330921256884599986322965661024591599",5000,5000,127.70201963925,8.51719319141624
149,3295,"2818549577827491430500496646731228978888043677360161079167",5000,5000,132.283572719192,8.51719319141624
245,3295,"1365407132951090940257032205376285247177736230693310859866",5000,5000,131.558802950723,8.51719319141624
404,3295,"39074776675712403610662872834073001326801869113899877295",5000,5000,128.005072182697,8.51719319141624
666,3295,"71656518093383256323571185966326456750070105424373003",5000,5000,121.703723864129,8.51719319141624
2,5432,"2716",2289,5000,7.90691548867859,7.73587031995257
3,5432,"2458885",4993,5000,14.7152185531263,8.51579221050061
5,5432,"302862484065",5000,5000,26.4365446914653,8.51719319141624
8,5432,"695590219667151202",5000,5000,41.083537117009,8.51719319141624
13,5432,"237641545596310645599337820",5000,5000,60.7328056592635,8.51719319141624
21,5432,"5672694643767375262829951370288750745",5000,5000,84.6287275984461,8.51719319141624
34,5432,"3278172922742359961516879397081289367582907336719",5000,5000,111.711370695159,8.51719319141624
55,5432,"1102256032585089848220634038506997648911142918892549255726738",5000,5000,138.252464597857,8.51719319141624
91,5432,"2615804345254358143262978564055444454983803888242259151431926866682393",5000,5000,159.839943055818,8.51719319141624
149,5432,"178354771150658657617072380554614529608375866846798687837751055884913249117",5000,5000,170.969901358634,8.51719319141624
2,8956,"4478",3003,5000,8.4069317971587,8.00736706798333
3,8956,"6684161",4997,5000,15.7152512557802,8.51659301134421
5,8956,"2236395220839",5000,5000,28.4358864091082,8.51719319141624
8,8956,"22921242356258971487",5000,5000,44.5785957682956,8.51719319141624
13,8956,"93240625652399379012952922080",5000,5000,66.704981035113,8.51719319141624
21,8956,"109321342988225680944253346520028719055538",5000,5000,94.4951102726792,8.51719319141624
34,8956,"26510334172343679620263603737421968879541427350642200221",5000,5000,127.61712964742,8.51719319141624
55,8956,"52099521176082801114220724074718453851242695440110050498389791801325166",5000,5000,162.831527174828,8.51719319141624
91,8956,"9132358053190488321296962422400482075648017815146020642409291266375114274527940424666",5000,5000,195.628971748027,8.51719319141624
149,8956,"15249833820559112790631230774509724059768033702702251596576344723897127031154330266752932864976",5000,5000,216.864982254428,8.51719319141624
2,14765,"7382",3645,5000,8.90679988358994,8.20111164444276
3,14765,"18167102",5000,5000,16.715122933981,8.51719319141624
5,14765,"16513357214716",5000,5000,30.4351906975085,8.51719319141624
8,14765,"756381079701531532160",5000,5000,48.0750769967492,8.51719319141624
13,14765,"36951661347468363711892754657803",5000,5000,72.6871633982473,8.51719319141624
21,14765,"2215706766887636813887434678364659682076762793",5000,5000,104.41190061945,8.51719319141624
34,14765,"268044984134906959907174731161483396335723284778825114462650948",5000,5000,143.746260397318,8.51719319141624
55,14765,"5865533243234042731320074690425679174818610595951971608175882678818428885023192637",5000,5000,188.278485930053,8.51719319141624
91,14765,"583016485279184224673986085029308422830085690826832093245584753541400165930058206538017514801318239158",5000,5000,234.324139668998,8.51719319141624
149,14765,"1287157450475941675165801154090549334760386860076320343129886843239927529610099103241838880787003990190896519525083146",5000,5000,269.654892140577,8.51719319141624
2,24344,"12172",4093,5000,9.40689351101686,8.3170334764924
3,24344,"49385861",4999,5000,17.715174726616,8.51699317141357
5,24344,"121998260763837",5000,5000,32.4350279045261,8.51719319141624
8,24344,"25005802148450410345707",5000,5000,51.5733948367534,8.51719319141624
13,24344,"14758275717014838890482369956713249",5000,5000,78.6771120598112,8.51719319141624
21,24344,"46449845132968759899595276248230637685269946230981",5000,5000,114.36245759491,8.51719319141624
34,24344,"3132889796194044296603413278725924013408228142870676346719971902630885",5000,5000,160.020327252771,8.51719319141624
55,24344,"1181250780768397202061305158174532413983485784355402306702474691933980337585433742004093010379",5000,5000,214.30698750924,8.51719319141624
91,24344,"322082095391611807660782566824804455366370995138363209593670567463518291294948096850877783935004124705375336687743381742",5000,5000,275.177262347985,8.51719319141624
149,24344,"45405397619444291389647227305842604510025659331969240711108836827798918591509559701812563123962599684400600602386114793986761345188611554335987",5000,5000,328.480129100437,8.51719319141624
2,40135,"20067",4403,5000,9.90683195378652,8.39004140575575
3,40135,"134234852",5000,5000,18.7151014507226,8.51719319141624
5,40135,"901174261108935",5000,5000,34.4347197633918,8.51719319141624
8,40135,"826930631756160090165004",5000,5000,55.0720077650047,8.51719319141624
13,40135,"5913970247486051930183643054964829889",5000,5000,84.6703807383419,8.51719319141624
21,40135,"991768023106226244219603543496045084523878717261072395",5000,5000,124.331328974959,8.51719319141624
34,40135,"39906385524106945256105365951578090437267527555924584558061494108964942056262",5000,5000,176.380418323843,8.51719319141624
55,40135,"343244771942824953003325985038310562899168266674774780674634591954006873294387978098150498818232940260331",5000,5000,240.702123298877,8.51719319141624
