"sim","nparts","s0","n0","skew","simpson","nunique","max_draws"
1,"12038",21,55,2.00893071691696,0.909090909090909,5,5
2,"12038",21,55,1.87411501510866,0.917685950413223,5,5
3,"12038",21,55,2.4341779621568,0.854214876033058,5,5
4,"12038",21,55,2.09265314700745,0.892561983471074,5,5
5,"12038",21,55,3.01575446376201,0.840330578512397,5,5
1,"792",34,55,2.41541750400623,0.940165289256198,5,5
2,"792",34,55,2.02999680858297,0.955371900826446,5,5
3,"792",34,55,4.050430821481,0.933553719008264,5,5
4,"792",34,55,2.33295866580251,0.944793388429752,5,5
5,"792",34,55,5.11889418766777,0.876694214876033,5,5
1,"45",2,91,0,0.482550416616351,5,5
2,"45",2,91,0,0.142011834319526,5,5
3,"45",2,91,0,0.489795918367347,5,5
4,"45",2,91,0,0.244897959183674,5,5
5,"45",2,91,0,0.498490520468542,5,5
1,"690",3,91,-0.274478788470417,0.511049390170269,5,5
2,"690",3,91,0.138209090752666,0.438594372660307,5,5
3,"690",3,91,-0.267924332557227,0.658857625890593,5,5
4,"690",3,91,0.359664138194346,0.563700036227509,5,5
5,"690",3,91,0.130129494729198,0.642192971863301,5,5
1,"26455",5,91,0.894823744799238,0.602342712232822,5,5
2,"26455",5,91,-0.667169189742119,0.773095036831301,5,5
3,"26455",5,91,0.714381099817998,0.68421688201908,5,5
4,"26455",5,91,0.248926502911322,0.712715855572998,5,5
5,"26455",5,91,1.02662802021413,0.681318681318681,5,5
1,"509267",8,91,-0.214409472058035,0.843859437266031,5,5
2,"509267",8,91,0.771575127820072,0.778891438232098,5,5
3,"509267",8,91,0.513241431375499,0.773336553556334,5,5
4,"509267",8,91,1.39401384553948,0.754015215553677,5,5
5,"509267",8,91,1.84509961317504,0.841202753290665,5,5
1,"3100410",13,91,0.821520477258205,0.863180775268687,5,5
2,"3100410",13,91,1.75866384258672,0.872358410819949,5,5
3,"3100410",13,91,1.33520440599298,0.832991184639536,5,5
4,"3100410",13,91,1.60479758311721,0.835164835164835,5,5
5,"3100410",13,91,1.19793570239677,0.810047095761381,5,5
1,"3193032",21,91,1.51281731695905,0.9025480014491,5,5
2,"3193032",21,91,1.43342642113536,0.887332447772008,5,5
3,"3193032",21,91,1.65250933790344,0.866320492694119,5,5
4,"3193032",21,91,0.843789827612619,0.917763555126192,5,5
5,"3193032",21,91,1.29109860039171,0.910276536650163,5,5
1,"609646",34,91,3.75066536101958,0.87163386064485,5,5
2,"609646",34,91,2.1767160929906,0.931288491728052,5,5
3,"609646",34,91,3.29310550306933,0.886849414321942,5,5
4,"609646",34,91,1.3692809326286,0.948919212655476,5,5
5,"609646",34,91,2.48562885122014,0.911484120275329,5,5
1,"17977",55,91,1.95938664213976,0.969689651008332,5,5
2,"17977",55,91,2.34609311974862,0.966549933582901,5,5
3,"17977",55,91,3.55864416192429,0.958579881656805,5,5
4,"17977",55,91,4.3556250770397,0.958338364931771,5,5
5,"17977",55,91,2.44060434107611,0.967516000483033,5,5
1,"74",2,149,0,0.485924057474888,5,5
2,"74",2,149,0,0.148101436872213,5,5
3,"74",2,149,0,0.170262600783748,5,5
4,"74",2,149,0,0.373316517273997,5,5
5,"74",2,149,0,0.48358182063871,5,5
1,"1850",3,149,0.334501743129033,0.44574568713121,5,5
