"community_name","s0","n0","nparts","ncomparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div","lognparts"
"26_14765",26,14765,3.49663316538632e+52,4998,0.82768359566558,0.795321079570173,0.901807659778951,0.108066091319698,0.042911489814099,120.986225388465
"26_1557",26,1557,9.62034413324461e+28,4998,0.806847492171574,0.79985513781321,0.8957965515702,0.117068792835053,0.0500051650187029,66.7362626405576
"26_165",26,165,7549091116,4999,0.676327681950323,0.704752468620312,0.846195304691982,0.159165166366607,0.0899667263465778,22.7446930109741
"26_18959",26,18959,1.71480925091751e+55,4997,0.825901300374528,0.789043559202266,0.901825889197177,0.108416196930564,0.0431057743610842,127.18148196515
"26_1999",26,1999,3.10814357121687e+31,4997,0.811398137774358,0.795407668036316,0.896696714518181,0.115463475183659,0.0489464132963677,72.5141635083391
"26_211",26,211,363937979327,4999,0.70846613153495,0.72336197463523,0.858373681421541,0.152386875479361,0.0829264277577507,26.6202493036014
"26_24344",26,24344,8.50930854025146e+57,4999,0.827434447170745,0.797900714418639,0.902294771163285,0.108842627874901,0.0433613305808989,133.38851098733
"26_2566",26,2566,1.09859413850985e+34,4999,0.814210801316228,0.805539110924558,0.896315234401049,0.11286785806109,0.0468183565178964,78.3819244682918
"26_271",26,271,24691000445496,4998,0.738080548272527,0.742411384305464,0.867231418295345,0.146270316244579,0.0763424891990583,30.8374599387359
"26_29",26,29,3,3,0.548601163146618,0.500960755755693,0.556877869605143,0.0459770114942529,0.0272083174038117,1.09861228866811
"26_31258",26,31258,4.26089912077763e+60,4999,0.830456711978416,0.789382805077276,0.905251664494427,0.106945171745975,0.0423427543222382,139.604585778869
"26_3295",26,3295,4.22873506108556e+36,4999,0.826501778389864,0.804725339015968,0.901603299488118,0.111660389741074,0.0456676525119166,84.33496625619
"26_348",26,348,2184504591452520,4998,0.737778157881928,0.751393754047993,0.871949759865464,0.141602043116097,0.0720886575423695,35.3201654661501
"26_37",26,37,56,1470,0.37635065855467,0.615551849412028,0.714467629838938,0.0950542379113807,0.0638306111680043,4.02535169073515
"26_40135",26,40135,2.14853903815832e+63,4998,0.827700271747354,0.793592862761766,0.902335672160583,0.108292615663432,0.0431353950874835,145.827648952652
"26_4231",26,4231,1.73107894745847e+39,5000,0.822249544584714,0.797312721085824,0.89934373936974,0.111968990782321,0.045789948064733,90.3495635099279
"26_446",26,446,239943942990932640,4998,0.770156468513252,0.764515748917683,0.876973080643884,0.136548341309618,0.0665662467673662,40.0191817200996
"26_47",26,47,792,4957,0.364866103862528,0.632716711237715,0.754141969114446,0.130488155584838,0.0872169953763876,6.67456139181443
"26_5432",26,5432,7.41902193683756e+41,4999,0.819529385626466,0.803174546536592,0.899457511050486,0.111074681799394,0.044985438426909,96.4100360468045
"26_573",26,573,34919036063627620352,4999,0.786675597592905,0.775029677848402,0.884453844519621,0.129501991148666,0.0606456116677701,44.9995638003488
"26_61",26,61,14816,5000,0.456079087830278,0.620044991511988,0.783150163593246,0.156439344262295,0.103026547138648,9.60346295688596
"26_6975",26,6975,3.32099624879907e+44,4999,0.821950635070145,0.78828651639959,0.901777953285977,0.110196089397091,0.0449787487656017,102.514008904592
"26_736",26,736,6.25787458175272e+21,4999,0.797733808598765,0.79179074162393,0.889183032532717,0.124588232863964,0.0563391670402817,50.1881275566541
"26_78",26,78,272293,4999,0.5485033059797,0.641127193774481,0.809264704339569,0.165330501997835,0.1047745401518,12.5146339713905
"26_8956",26,8956,1.53291515737614e+47,4998,0.827591994289231,0.797817899738995,0.90213198810615,0.109023019658958,0.0436052214354668,108.648670624901
"26_944",26,944,1.3104032134883e+24,5000,0.795249731006737,0.790767823426976,0.890792044342391,0.122202966101695,0.0544282313788255,55.5323771182665
"3_100",3,100,833,4969,-5.64692575054986,-15.8026181085137,0.839025951211073,0.184831958140471,0.147104186174164,6.72503364216684
"3_11",3,11,10,45,-3.30251388870208,-4.68757596134422,0.727445274315356,0.187878787878788,0.118413001630033,2.30258509299405
"3_11499",3,11499,11018917,4998,-2.09887342681666,-8.47956606279146,0.842411114770505,0.185530408354315,0.159615255665305,16.2151240809976
"3_1212",3,1212,122412,5000,-2.69654079378346,-9.2703655055824,0.846246215462321,0.178400660066007,0.143702479918105,11.7151476834705
"3_128",3,128,1365,4991,-3.25779567869522,-9.90541600011818,0.837278745423276,0.18457911741134,0.150439953569362,7.21890970761906
"3_14",3,14,16,120,-2.4714293520851,-3.64623457114616,0.769910657206654,0.185119047619048,0.12511659674653,2.77258872223978
"3_14765",3,14765,18167102,4999,-3.51988917204282,-15.2013209056877,0.83625187044454,0.187752728330969,0.160414614056802,16.715122933981
"3_1557",3,1557,202021,4999,-2.75956021923427,-11.3987070464142,0.843243147027647,0.184156805670704,0.155747987251948,12.2161269313759
"3_165",3,165,2269,4997,-2.6722980539492,-9.66748867543868,0.837929564973144,0.18583149889934,0.152236966120793,7.72709448477984
"3_18",3,18,27,351,-0.548123908664074,-1.57236166022641,0.746898099716365,0.187559354226021,0.13028645704302,3.29583686600433
"3_18959",3,18959,29953640,5000,-3.71657479006111,-12.79258677297,0.842390616486676,0.182417490373965,0.149485189561786,17.215161411034
"3_1999",3,1999,333000,5000,-3.58315023997649,-12.9673653203921,0.840697215746355,0.183086343171586,0.154575305484924,12.7158977689626
"3_211",3,211,3710,4999,-3.60762722837552,-10.7698833607555,0.838043164953357,0.183677493792598,0.148619869010869,8.21878715560148
"3_23",3,23,44,940,-4.2592186856493,-8.40526698033874,0.800436217685542,0.185383903792785,0.133272473387718,3.78418963391826
"3_24344",3,24344,49385861,5000,-2.99277313200685,-9.27809799257416,0.844780180795598,0.185268731514952,0.154302483955115,17.715174726616
"3_2566",3,2566,548696,5000,-1.64362871979017,-8.62379112338748,0.83669864719928,0.184506780982073,0.155634817299915,13.2152998330624
"3_271",3,271,6120,4997,-2.37784913754801,-7.97835256321553,0.837382903811482,0.184965591901266,0.152894657777286,8.71931737550637
"3_29",3,29,70,2106,-2.66280336620136,-6.95182132276602,0.811572453961442,0.185741886891312,0.136211637437428,4.24849524204936
"3_31258",3,31258,81421880,4998,-6.32039009662884,-53.9400358608189,0.841232529267716,0.187943345487149,0.161702567623696,18.2151545909224
"3_3295",3,3295,904752,4999,-4.31708759473551,-15.1567209458601,0.840912082542803,0.184366038609846,0.157082073259613,13.7154161519789
"3_348",3,348,10092,5000,-2.5655826665378,-8.02977633561555,0.835011304276551,0.185114942528736,0.150282961786835,9.21949830976095
"3_37",3,37,114,3460,-3.64654306817508,-8.13384691410135,0.821450154068643,0.183268239337603,0.136518671327248,4.7361984483945
"3_40135",3,40135,134234852,5000,-8.73336228404025,-19.8715720496347,0.843096217484284,0.186942050579295,0.162029431813176,18.7151014507226
"3_4231",3,4231,1491780,5000,-4.91881461131808,-16.4232304253346,0.840841077153965,0.186144126683999,0.157403675094597,14.2154805957905
"3_446",3,446,16576,4999,-6.34486122286816,-18.559813791255,0.841237960880922,0.187598506248335,0.15637380303884,9.71571114505921
"3_47",3,47,184,4330,-4.29162545786025,-11.4764266469468,0.821609621164992,0.186536288143089,0.143242607017051,5.21493575760899
"3_5",3,5,2,1,0.25,0.198572198889152,0.25,0.2,0.104649628752909,0.693147180559945
"3_5432",3,5432,2458885,4998,-1.96320999401852,-7.60596974838066,0.842727882123161,0.185440339611544,0.156625437794349,14.7152185531263
"3_573",3,573,27361,4999,-3.92431026991515,-10.7925249419037,0.839588556323173,0.183465314354319,0.154260006971428,10.2168739207762
"3_61",3,61,310,4720,-3.83631922082271,-9.80136343608778,0.825831258124527,0.187208252292303,0.146043013666293,5.73657229747919
"3_6975",3,6975,4054219,4999,-1.54868792660592,-6.2376061134779,0.843318307868701,0.183213560274779,0.157466414316438,15.2152686252553
"3_7",3,7,4,6,0.107142857142857,0.252718654699874,0.642857142857143,0.190476190476191,0.111295039405477,1.38629436111989
"3_736",3,736,45141,4999,-2.5113749076867,-8.94869863921142,0.8416152973163,0.18292191046905,0.152594561967182,10.717546203427
"3_78",3,78,507,4896,-2.0694301707102,-6.55786750985069,0.837003332218706,0.183056288754818,0.142742442397963,6.22851100359118
"3_8956",3,8956,6684161,5000,-1.84145327302013,-6.60897878687381,0.840583252024252,0.185276686020545,0.155960330002029,15.7152512557802
"3_9",3,9,7,21,-0.0651927437641723,-0.165964185974624,0.530612244897959,0.201058201058201,0.129755669374726,1.94591014905531
"3_944",3,944,74261,4999,-42.2883821199316,-202.245302769872,0.842910553956936,0.182894629773412,0.152585701278737,11.2153411938402
"34_100",34,100,2288049,4998,0.629052666786352,0.698234235522788,0.824535824226828,0.157224889955982,0.0974905085259796,14.6432100473364
"34_11499",34,11499,8.23658540448621e+58,5000,0.849085960101194,0.840818323150491,0.912178910381239,0.0992783720323506,0.0361506700007488,135.658521259032
"34_1212",34,1212,1.1074229253698e+29,4998,0.816490304015055,0.821012877312712,0.899589944079231,0.116077949331548,0.0493299041451511,66.8770033239972
"34_128",34,128,87010828,4999,0.651767543637719,0.700608787922199,0.837927404938559,0.163068551210242,0.0989227350716711,18.2815431286445
"34_14765",34,14765,2.68044984134907e+62,4999,0.860786192786631,0.838073249676711,0.916593464847721,0.0964219528633122,0.0344727360976229,143.746260397318
"34_1557",34,1557,1.25257609294079e+32,4999,0.825529078874285,0.83747870299982,0.901095808215881,0.112136749764853,0.045618419930643,73.9079252807879
"34_165",34,165,4988367127,5000,0.664666483798977,0.708287094130918,0.845575612418181,0.163043636363636,0.0960138880186189,22.3303744641006
"34_18959",34,18959,9.03998325215677e+65,4999,0.853559233572029,0.834956291458436,0.913610108731296,0.0980790809778602,0.035444485588677,151.869688366378
"34_1999",34,1999,1.74253174739231e+35,4999,0.839980530307529,0.836807445864568,0.90905435527743,0.106297597688622,0.0414587040616123,81.1458173377286
"34_211",34,211,350833045483,4998,0.709205310318595,0.729923685644339,0.86173809138616,0.155715366715407,0.0875963890685378,26.5835762933585
"34_24344",34,24344,3.13288979619404e+69,5000,0.860340033824225,0.840836703321713,0.915688312667339,0.0967497781794282,0.0343493942318325,160.020327252771
"34_2566",34,2566,2.91595998136159e+38,4999,0.842360290053953,0.84817099462025,0.906848405730845,0.105464194943431,0.040154807602235,88.5684326240131
"34_271",34,271,38094425424798,4999,0.735572767485582,0.748328546631673,0.868252279876689,0.149850634333509,0.0806655713953793,31.2710890730465
"34_31258",34,31258,1.10895370513366e+73,5000,0.855515184694335,0.840246277576005,0.913490877686299,0.0971325740610404,0.0344231066579855,168.192128751368
"34_3295",34,3295,5.78440451474842e+41,4999,0.846078489452503,0.840244307266238,0.912455234863236,0.103404960202966,0.0390360938730563,96.1611542320182
"34_348",34,348,5993893171616572,4999,0.753452743839582,0.759548805084465,0.874748551972045,0.145112930632103,0.0754229336753517,36.3295175410932
